Seed,Prop. class 1,Sel. bias,Method,Test set,pr,AUPRC,p.50,p.100,Bias effect
22,0.05,0.0,traditional,future,0.47368421052631576,0.2080917524310687,0.46,0.37,1.019522955282534
44,0.5,0.0,traditional,future,0.6927558749271703,0.756418365112851,0.98,0.94,1.500924311842343
13,0.05,0.5,sample,,,,,,0.48157422443476167
5,0.05,0.0,Label_Propagation,future,0.0,0.23922792350341276,0.54,0.48,1.6642914889637974
21,0.5,0.0,Veenman,future,0.5,0.656343592189025,0.78,0.8,1.0778145416834337
5,0.05,0.5,Self_Learning,future,0.11213389121338913,0.20747110602779256,0.5,0.35,1.1840956347928646
16,0.05,0.0,Label_Propagation,future,0.0,0.231573114742754,0.46,0.39,1.7536501857052333
0,0.5,0.5,Label_Propagation,future,1.0,0.7427684136294657,0.96,0.95,2.1594502582479156
14,0.05,0.5,traditional,future,0.11867314841292537,0.24224604072648173,0.48,0.44,1.1474136473277465
0,0.05,0.5,Label_Propagation,future,0.0501,0.21518744757406627,0.56,0.45,1.449877122526918
13,0.05,0.95,Semi-supervised,future,0.75,0.3435385127419036,0.7,0.59,0.9922343743894338
33,0.05,0.95,Label_spreading,future,0.0505,0.466625828765764,0.8,0.77,1.247949860068686
23,0.5,0.95,Veenman,future,0.8050847457627118,0.6559899906264308,0.96,0.94,1.955719768440064
26,0.5,0.95,Label_spreading,future,0.5,0.7772524565100446,1.0,1.0,2.268058123088465
18,0.5,0.95,sample,,,,,,1.4299692884924313
24,0.5,0.0,Label_spreading,future,0.7237141556668184,0.7621753308634972,0.94,0.94,1.5132818625339315
44,0.05,0.5,sample,,,,,,0.43987944564792897
38,0.5,0.95,Semi-supervised,future,0.7598204264870931,0.6208056227921424,0.86,0.81,2.0667278540685623
13,0.5,0.0,traditional,future,0.7451882845188285,0.8055115539371226,1.0,0.99,1.5767583507677778
39,0.5,0.5,Veenman,future,0.8306264501160093,0.640547598371932,0.84,0.89,2.18609722306562
26,0.05,0.5,Label_Propagation,future,0.3401869158878505,0.3300869343673989,0.72,0.59,1.1700325182080835
4,0.5,0.0,Label_Propagation,future,0.0,0.8376146164704104,1.0,0.99,2.0779689584171614
33,0.05,0.5,Self_Learning,future,0.13056379821958458,0.2936513527333156,0.5,0.49,0.8176707577797304
7,0.5,0.0,Label_spreading,future,0.776084099868594,0.7918447978275798,0.96,0.95,1.7112890735116935
44,0.05,0.95,Semi-supervised,future,0.6666666666666666,0.38951228959029044,0.66,0.68,0.9283627782468065
43,0.05,0.5,traditional,future,0.10253781081773904,0.18881630951742362,0.42,0.36,1.3804106448204723
8,0.5,0.5,sample,,,,,,1.5587988364621013
41,0.05,0.0,Label_Propagation,future,0.0,0.3710645448936441,0.7,0.65,1.4787002644895288
38,0.5,0.95,Self_Learning,future,0.6535589845694375,0.6806962193135966,0.8,0.81,1.5512864209397839
7,0.5,0.5,Veenman,future,0.8166666666666667,0.6166756491864218,0.88,0.87,2.125905085359477
32,0.5,0.0,Label_Propagation,future,0.5012533841371704,0.835166421130647,1.0,0.99,2.049850090060452
31,0.05,0.95,Self_Learning,future,0.07330771504581732,0.29961109104643585,0.58,0.55,0.8300592011515682
33,0.05,0.5,Semi-supervised,future,0.6304347826086957,0.3637125952961181,0.66,0.64,0.9931534288985812
22,0.5,0.0,Self_Learning,future,0.6097143834445015,0.6921352145840997,0.84,0.82,0.9429738629970403
33,0.5,0.95,traditional,future,0.5563828509667347,0.7192592384192725,0.92,0.92,1.9378836572473714
